company_name,about,website,email,investor_names,location/hq,lead/follow,initial_check_size,hardware/software,primary_stage_focus,initial_ownership_target,b2b/b2c/b2b2c,can_also_enter_at,investment_focus,does_not_invest_in,linkedin,crunchbase
.406 Ventures,.406 Ventures is an early-stage venture capital firm that invests in innovative Information Technology (“IT”) and services companies founded by the finest entrepreneurs.,http://www.406ventures.com/,contact@406ventures.com,"Liam Donohue, Graham Brooks, Payal Agrawal Divakaran, Greg Dracon, Maria Cirino, Kathryn Taylor Reddy",Massachusetts,Mostly Follow,"$1-3m
> $3m",Software / Code,Series A,-,-,-,"Privacy & Security
Healthcare
Data & Analytics",-,https://www.linkedin.com/company/.406-ventures,https://www.crunchbase.com/organization/406-ventures
(ERA) Entrepreneurs Roundtable Accelerator,"ERA combines seed capital, hands-on help and a great co-working location with an expert team to positively impact the trajectory of early-stage startups.",http://eranyc.com/,info@eranyc.com,"Murat Aktihanoglu, Jonathan Axelrod",New York,Mostly Follow,$100-250k,Software / Code,Seed,5-7%,-,-,"Financial Services / Payments
SaaS
E-Commerce
Healthcare
CleanTech / Impact / Sustainability
Education
Supply Chain & Logistics
Real Estate
Hardware
Advertising & Media
Sales & Marketing",-,https://www.linkedin.com/company/er-accelerator/,https://www.crunchbase.com/organization/er-accelerator
1confirmation,1confirmation is a venture fund that supports exceptional founders fueling the decentralization of the web and society.,http://www.1confirmation.com/,-,"Nick Tomaino, Richard Chen, Frank Hourigan, Mike Tomaino",California,Can Lead,-,Software / Code,Seed,-,-,-,Web3 / Blockchain,-,https://www.linkedin.com/company/1confirmation/,https://www.crunchbase.com/organization/1confirmation
1Sharpe Ventures,"_[1Sharpe Ventures](http://1sharpe.ventures/) (1SV) is an early-stage venture fund backing founders reimagining FinTech, PropTech and the trillion-dollar built world industries: construction, real estate, hospitality, commerce, logistics, and climate. _",https://1sharpe.ventures/,Email me! Riley@1sharpe.com,"Ginny Miller, Kat Collins, Riley Finch",California,Can Lead,"$500k-1m
$1-3m","Software / Code
Services","Pre-Seed
Seed
Series A",7-10%,Agnostic,-,"Agriculture & Farming
AI / ML
CleanTech / Impact / Sustainability
Data & Analytics
Energy
Financial Services / Payments
Government
Future of Work
Healthcare
Industrial & Manufacturing
Marketplaces
Real Estate
SaaS","Infrastructure, Dev Tools, B2B Productivity tools, martech/adtech, Vice",https://www.linkedin.com/company/1sharpe-capital/mycompany/,https://www.crunchbase.com/organization/1sharpe-ventures
1Up Ventures,"At 1Up Ventures we are building a diverse and inclusive community of the most talented, experienced, and creative independent game developers in the world. We believe that by working together we can help each other be more successful.",https://1upfund.com/,Contact page on website,"Ed Fries, Kelly Wallick",Washington,Mostly Follow,$500k-1m,Software / Code,Seed,No Target,B2C,Seed,Gaming,We only invest in games and content focused studios (no platforms or tech focused studios),https://www.linkedin.com/company/1upfund/about/,https://www.crunchbase.com/organization/1up-ventures
2.0 Ventures,"The firm primarily invests in companies that are involved in areas such as artificial intelligence, machine learning, cloud computing, and the Internet of Things (IoT).",http://2point0ventures.com/,bobby@2point0ventures.com,"Benson Metcalf, Burgess Cline, Greg Woodward, Bobby Meinhold, Porntepp Ungvichian",Utah,Mostly Lead,-,Agnostic,Series A,-,-,-,"AI / ML
IaaS
Hardware",-,https://www.linkedin.com/company/2point0ventures/,https://www.crunchbase.com/organization/skylab-ventures
2.12 Angels,"2.12 Angels is a B2B-focused seed fund aiming to be ""the highest value to Founders per dollars invested""",https://212angels.com/,-,Benjamin Orthlieb,California,Mostly Follow,$100-250k,Agnostic,Seed,-,B2B,-,"SaaS
IaaS",-,https://www.linkedin.com/company/212angels,https://www.crunchbase.com/organization/2-12-angels
3x5 Partners,3x5 Partners is a venture capital firm that collaborates with passionate entrepreneurs who are developing solutions in response to global healthcare and climate needs.,https://www.3x5partners.com/,info@3x5partners.com,"Tony Arnerich, Nicholas Walrod, Joe Biller, Jacob Pflaum",Oregon,Mostly Follow,-,Agnostic,Seed,-,-,-,"Biotech
Healthcare
CleanTech / Impact / Sustainability",-,https://www.linkedin.com/company/3x5-partners/,https://www.crunchbase.com/organization/3x5-partners-658c
4DX Ventures,We Partner with Extraordinary Entrepreneurs Leveraging Technology to Build Transformative Businesses.,https://www.4dxventures.com/,info@4dxventures.com,"Walter Baddoo, Peter Orth, Dan Marlo, Raaid Ahmad",New York,Mostly Lead,-,Agnostic,"Pre-Seed
Seed",-,-,-,"Healthcare
Financial Services / Payments",-,https://www.linkedin.com/company/4dx-ventures,https://www.crunchbase.com/organization/4dx-ventures
6th Man Ventures,"We’re proud to support the teams building the user-owned web, from infrastructure to applications, protocols to companies.",https://www.6thman.ventures/,mdudas@6thman.ventures,"Mike Dudas, Serge Kassardjian",New York,Mostly Follow,"$25-100k
$250-500k
$500k-1m
$1-3m
$100-250k
> $3m
Up to $25k",Software / Code,Seed,-,-,"Pre-Seed
Series A","Web3 / Blockchain
Gaming
Data & Analytics",-,https://www.linkedin.com/company/6mv/?viewAsMember=true,https://www.crunchbase.com/organization/6th-man-ventures
7BC Venture Capital,"7BC Venture Capital is a venture fund focused on powering the digital economy through AI, FinTech, PropTech, and software technologies that leverage data.",https://7bc.vc/,andrew@7bc.vc,Andrew Romans,Texas,"Mostly Follow
Can Lead",$250-500k,Software / Code,"Seed
Series A",< 5%,Agnostic,-,"AI / ML
Financial Services / Payments
Real Estate
SaaS
Data & Analytics","Healthcare life science, hardware.",https://www.linkedin.com/company/7bc-vc/,https://www.crunchbase.com/organization/7bc-vc
7wire Ventures,7wireVentures is dedicated to building and investing in early stage digital health companies supporting an Informed Connected Health Consumer.,http://7wireventures.com/,https://www.7wireventures.com/contact-us/,"Glen Tullman, Lee Shapiro, Robert Garber, Alyssa Jaffee",Illinois,Mostly Lead,-,Software / Code,"Seed
Series A",-,-,-,"Healthcare
Data & Analytics
Marketplaces",-,http://www.linkedin.com/company/7wire-ventures,https://www.crunchbase.com/organization/7wire-ventures
8VC,"**_The world is broken, let's fix it._**
8VC is a technology and life sciences investment firm that builds and invests in the world’s most ambitious companies.",http://www.8vc.com/,venkatesh@8vc.com,"Joe Lonsdale, Alex Kolicich, Venkatesh Seetharam, Bhaskar Ghosh https://www.8vc.com/team",California,Mostly Lead,"$500k-1m
$1-3m
> $3m",Software / Code,"Pre-Seed
Seed
Series A","10-12%
> 12%","B2B
B2C
B2B2C","Series B
Growth","Healthcare
Financial Services / Payments
Consumer Goods
SaaS
Advertising & Media
AI / ML
Data & Analytics
E-Commerce
Energy
FoodTech
Future of Work
Gaming
Government
IaaS
Industrial & Manufacturing
Marketplaces
Privacy & Security
Sales & Marketing
Social / Communities
Supply Chain & Logistics
Web3 / Blockchain",-,https://www.linkedin.com/company/10317593?trk=prof-exp-company-name,https://www.crunchbase.com/organization/8vc
9Yards Capital,"9Yards is a global private investment firm focused on foundational industries, beginning with fintech and supply chain tech. We aim to be a strategic capital partner through unique perspectives and connectivity in each industry.",https://9yardscapital.com/,info@9yardscapital.com,"Theo Osborne, George Osborne, David Fisher, Daniel Jaffe, Hunter Mcnabb",California,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"Financial Services / Payments
Hardware",-,https://in.linkedin.com/company/9yards-capital,https://www.crunchbase.com/organization/9yards-capital
10VC,We invest in brilliant founders building breakthrough technologies that can scale to become transformational platforms.,https://10vc.com/,Feel free to send materials to ben@10vc.com,"Ben Patterson, Daniel Ramirez",California,Mostly Lead,$500k-1m,Agnostic,Pre-Seed,"7-10%
10-12%",B2B,Seed,"AI / ML
Biotech
Energy
SaaS
Financial Services / Payments
Healthcare
Government
Hardware","Web3, Blockchain tech, Crypto, single-application small molecule therapeutics.",https://www.linkedin.com/company/10vc/,https://www.crunchbase.com/organization/ten-vc
10X Capital,"10X Capital democratizes access to capital by bridging the gap between Wall Street & Silicon Valley, helping the next generation of technology-enabled ventures achieve scale & liquidity while preserving control & upside.",http://10xcapital.com/,info@10xcapital.com,"Hans Thomas, Max Staedtler, Osman Ahmed, Ethan Wilson",New York,Mostly Follow,-,-,"Seed
Series A
Series B",-,-,-,-,-,https://www.linkedin.com/company/10x-capital,https://www.crunchbase.com/organization/10x-capital
